Variables;model;params;f1_macro;f1_weighted;f1_noise;f1_physio;f1_twave
3;knn;{'n_neighbors': 3, 'p': 2};0.26806976778825387;0.33920308726786885;0.0;0.25;0.5573662808883328
1;rf;{'criterion': 'gini', 'min_samples_leaf': 5};0.26767151304966436;0.34479940843651374;0.0;0.25;0.5552754435107377
1;svm;{'C': 10, 'kernel': 'rbf'};0.26654914839499017;0.3881717992408435;0.15;0.2916666666666667;0.42021636240703175
0;svm;{'C': 10, 'kernel': 'linear'};0.2642159878593987;0.35548385699830726;0.029629629629629627;0.4375;0.4125968992248062
1;svm;{'C': 1, 'kernel': 'rbf'};0.2595499738356881;0.3624681836887107;0.21538461538461537;0.3269230769230769;0.2664835164835165
0;svm;{'C': 10, 'kernel': 'rbf'};0.2556789228463431;0.33977129048617616;0.20091954022988504;0.29545454545454547;0.29571037420139945
0;svm;{'C': 1, 'kernel': 'rbf'};0.24815006974449696;0.31049047922563805;0.19649122807017544;0.3653846153846154;0.1917892156862745
3;knn;{'n_neighbors': 2, 'p': 2};0.24482488349085532;0.28959278722236775;0.07564356435643564;0.29545454545454547;0.3953216374269006
1;svm;{'C': 10, 'kernel': 'poly'};0.23674099269337365;0.31415288877147407;0.05185185185185185;0.2916666666666667;0.3864087301587301
3;svm;{'C': 0.1, 'kernel': 'rbf'};0.22413169545426204;0.30841742790186044;0.13333333333333333;0.15517241379310345;0.5881856540084388
3;knn;{'n_neighbors': 2, 'p': 1};0.21693958215697348;0.23056997034202606;0.07636363636363637;0.3;0.24347826086956523
3;svm;{'C': 0.1, 'kernel': 'poly'};0.21069471403905757;0.2826305429956829;0.07142857142857142;0.125;0.7293615344193378
1;svm;{'C': 0.1, 'kernel': 'poly'};0.18870588830157561;0.2529370515213029;0.05454545454545454;0.09090909090909091;0.669115004492363
0;svm;{'C': 0.1, 'kernel': 'poly'};0.17598988313274028;0.2473939837324026;0.0;0.07692307692307693;0.6845238095238095
