id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label,A_pre_ratio_log,A_post_ratio_log,W_pre_ratio_log,W_post_ratio_log,RR_ratio_log
2,3,36,4876,1333.5114324530243,63,186,171,191.0,0.8952879581151832,77.0,2.220779220779221,26,28.0,0.9285714285714286,30.0,0.8666666666666667,75.0,71.0,0.9466666666666668,9,0,T-wave,-0.11060987154397003,0.797858134648976,-0.07410797215372185,-0.1431008436406733,-0.054808236494994916
2,4,1,122,1354.4954864658944,1,68,64,99.0,0.6464646464646465,69.0,0.927536231884058,24,30.0,0.8,18.0,1.3333333333333333,79.0,68.0,0.8607594936708861,2,0,T-wave,-0.43623676677491796,-0.07522342123758752,-0.2231435513142097,0.28768207245178085,-0.14994014729091476
2,4,2,190,1354.767487166023,2,86,69,64.0,1.078125,147.0,0.4693877551020408,18,24.0,0.75,30.0,0.6,68.0,79.0,1.161764705882353,3,0,T-wave,0.07522342123758753,-0.756326082181477,-0.2876820724517809,-0.5108256237659907,0.14994014729091487
2,4,3,269,1355.083487979408,3,153,147,69.0,2.130434782608696,65.0,2.261538461538461,30,18.0,1.6666666666666667,23.0,1.3043478260869563,79.0,79.0,1.0,4,0,T-wave,0.756326082181477,0.816045316883099,0.5108256237659907,0.2657031657330055,0.0
2,4,4,348,1355.399488792793,4,81,65,147.0,0.4421768707482993,81.0,0.8024691358024691,23,30.0,0.7666666666666667,17.0,1.3529411764705883,79.0,112.0,1.4177215189873418,5,0,T-wave,-0.8160453168830992,-0.22006188477680164,-0.2657031657330056,0.3022808718729337,0.34905101882807305
2,4,5,1307,1359.235498666667,16,118,83,72.0,1.1527777777777777,162.0,0.5123456790123457,30,16.0,1.875,29.0,1.0344827586206895,110.0,71.0,0.6454545454545455,1,0,T-wave,0.14217448878054254,-0.668755727435786,0.6286086594223741,0.0339015516756812,-0.4378004887511007
2,4,6,1378,1359.5194993976834,17,194,162,83.0,1.9518072289156627,148.0,1.0945945945945943,29,30.0,0.9666666666666668,25.0,1.16,71.0,74.0,1.0422535211267605,2,0,T-wave,0.6687557274357862,0.09038406146826873,-0.03390155167568123,0.14842000511827322,0.04138521616285428
2,4,7,1452,1359.815500159588,18,160,148,162.0,0.9135802469135802,76.0,1.947368421052632,25,29.0,0.8620689655172413,26.0,0.9615384615384616,74.0,73.0,0.9864864864864864,3,0,T-wave,-0.09038406146826906,0.6664789334777842,-0.14842000511827333,-0.03922071315328127,-0.013605652055778709
2,4,8,1525,1360.107500911197,19,89,76,148.0,0.5135135135135135,132.0,0.5757575757575758,26,25.0,1.04,27.0,0.9629629629629628,73.0,73.0,1.0,4,0,T-wave,-0.6664789334777841,-0.5520685823000397,0.03922071315328133,-0.0377403279828472,0.0
2,4,9,1598,1360.3995016628055,20,159,132,76.0,1.736842105263158,150.0,0.88,27,26.0,1.0384615384615383,27.0,1.0,73.0,74.0,1.0136986301369864,5,0,T-wave,0.5520685823000399,-0.12783337150988489,0.0377403279828469,0.0,0.013605652055778678
2,4,10,1672,1360.6955024247104,21,176,150,132.0,1.1363636363636365,108.0,1.3888888888888888,27,27.0,1.0,25.0,1.08,74.0,75.0,1.0135135135135136,6,0,T-wave,0.127833371509885,0.32850406697203605,0.0,0.0769610411361284,0.01342302033214077
2,4,11,1747,1360.9955031969112,22,144,108,150.0,0.72,102.0,1.0588235294117647,25,27.0,0.925925925925926,25.0,1.0,75.0,73.0,0.9733333333333334,7,0,T-wave,-0.3285040669720361,0.05715841383994862,-0.0769610411361282,0.0,-0.02702867238791926
2,4,12,1820,1361.28750394852,23,138,102,108.0,0.9444444444444444,112.0,0.9107142857142856,25,25.0,1.0,22.0,1.1363636363636365,73.0,76.0,1.0410958904109588,8,0,T-wave,-0.05715841383994864,-0.0935260580108236,0.0,0.127833371509885,0.0402738991379399
2,4,13,1896,1361.5915047310166,24,127,112,102.0,1.0980392156862746,93.0,1.2043010752688172,22,25.0,0.88,24.0,0.9166666666666666,76.0,70.0,0.9210526315789472,9,0,T-wave,0.09352605801082355,0.18589937814183863,-0.12783337150988489,-0.08701137698962981,-0.08223809823697223
2,4,14,1966,1361.8715054517374,25,106,93,112.0,0.8303571428571429,198.0,0.4696969696969697,24,22.0,1.0909090909090908,26.0,0.9230769230769232,70.0,146.0,2.085714285714286,10,0,T-wave,-0.18589937814183854,-0.7556675375412792,0.0870113769896297,-0.08004270767353625,0.7351113796589775
2,4,15,2112,1362.455506954955,26,258,198,93.0,2.129032258064516,62.0,3.193548387096774,26,24.0,1.0833333333333333,27.0,0.9629629629629628,146.0,74.0,0.5068493150684932,11,0,T-wave,0.7556675375412792,1.1611326456494435,0.08004270767353636,-0.0377403279828472,-0.6795415285041666
2,4,16,2186,1362.7515077168596,27,72,62,198.0,0.3131313131313131,94.0,0.6595744680851063,27,26.0,1.0384615384615383,23.0,1.173913043478261,74.0,76.0,1.027027027027027,12,0,T-wave,-1.1611326456494437,-0.41616039722491244,0.0377403279828469,0.16034265007517948,0.026668247082161273
2,4,17,2262,1363.0555084993564,28,104,94,62.0,1.5161290322580645,145.0,0.6482758620689655,23,27.0,0.8518518518518519,28.0,0.8214285714285714,76.0,73.0,0.9605263157894736,13,0,T-wave,0.4161603972249123,-0.43343896015057054,-0.16034265007517937,-0.19671029424605427,-0.04027389913794008
2,4,18,2335,1363.3475092509652,29,205,145,94.0,1.5425531914893618,70.0,2.071428571428572,28,23.0,1.2173913043478262,27.0,1.037037037037037,73.0,75.0,1.0273972602739727,14,0,T-wave,0.43343896015057054,0.7282385003712157,0.1967102942460543,0.03636764417087479,0.02702867238791942
2,4,19,2410,1363.647510023166,30,84,70,145.0,0.4827586206896552,138.0,0.5072463768115942,27,28.0,0.9642857142857144,30.0,0.9,75.0,74.0,0.9866666666666668,15,0,T-wave,-0.7282385003712154,-0.6787584431078456,-0.036367644170874715,-0.10536051565782628,-0.013423020332140548
2,4,20,2484,1363.9435107850709,31,165,138,70.0,1.9714285714285715,165.0,0.8363636363636363,30,27.0,1.1111111111111112,30.0,1.0,74.0,73.0,0.9864864864864864,16,0,T-wave,0.6787584431078457,-0.178691788743376,0.10536051565782635,0.0,-0.013605652055778709
2,4,21,2557,1364.2355115366795,32,215,165,138.0,1.1956521739130437,129.0,1.2790697674418603,30,30.0,1.0,30.0,1.0,73.0,73.0,1.0,17,0,T-wave,0.1786917887433761,0.24613306953890837,0.0,0.0,0.0
2,4,22,2630,1364.5275122882883,33,147,129,165.0,0.7818181818181819,121.0,1.0661157024793388,30,30.0,1.0,30.0,1.0,73.0,71.0,0.9726027397260274,18,0,T-wave,-0.24613306953890846,0.06402185876493102,0.0,0.0,-0.027779564107075706
2,4,23,2701,1364.811513019305,34,138,121,129.0,0.937984496124031,133.0,0.9097744360902256,30,30.0,1.0,30.0,1.0,71.0,77.0,1.0845070422535212,19,0,T-wave,-0.06402185876493102,-0.09455858262501267,0.0,0.0,0.08112554481236853
2,4,24,2778,1365.1195138120977,35,177,133,121.0,1.0991735537190082,119.0,1.1176470588235294,30,30.0,1.0,30.0,1.0,77.0,72.0,0.935064935064935,20,0,T-wave,0.09455858262501257,0.1112256351102244,0.0,0.0,-0.06713930283762856
2,4,25,2850,1365.4075145534105,36,148,119,133.0,0.8947368421052632,107.0,1.1121495327102804,30,30.0,1.0,30.0,1.0,72.0,71.0,0.9861111111111112,21,0,T-wave,-0.11122563511022437,0.10629465864962322,0.0,0.0,-0.01398624197473984
2,4,26,2921,1365.6915152844272,37,126,107,119.0,0.8991596638655462,169.0,0.6331360946745562,30,30.0,1.0,30.0,1.0,71.0,78.0,1.0985915492957747,22,0,T-wave,-0.10629465864962319,-0.45706988046116725,0.0,0.0,0.09402894964827639
2,4,27,2999,1366.003516087516,38,213,169,107.0,1.5794392523364489,65.0,2.6,30,30.0,1.0,30.0,1.0,78.0,76.0,0.9743589743589745,23,0,T-wave,0.4570698804611675,0.9555114450274363,0.0,0.0,-0.025975486403260563
2,4,28,3075,1366.3075168700127,39,105,65,169.0,0.3846153846153846,276.0,0.2355072463768115,30,30.0,1.0,12.0,2.5,76.0,65.0,0.8552631578947368,24,0,T-wave,-0.9555114450274365,-1.4460135958215132,0.0,0.9162907318741551,-0.15634607039069398
2,4,29,3140,1366.5675175392537,40,292,276,65.0,4.246153846153846,121.0,2.28099173553719,12,30.0,0.4,30.0,0.4,65.0,79.0,1.2153846153846153,25,0,T-wave,1.4460135958215128,0.8246103201204089,-0.916290731874155,-0.916290731874155,0.1950605825713843
2,4,30,3219,1366.8835183526382,41,146,121,276.0,0.4384057971014493,131.0,0.9236641221374046,30,12.0,2.5,30.0,1.0,79.0,76.0,0.9620253164556962,26,0,T-wave,-0.8246103201204089,-0.07940677760441048,0.9162907318741551,0.0,-0.03871451218069039
2,4,31,3295,1367.187519135135,42,177,131,121.0,1.0826446280991735,118.0,1.1101694915254237,30,30.0,1.0,30.0,1.0,76.0,73.0,0.9605263157894736,27,0,T-wave,0.07940677760441041,0.10451269873548671,0.0,0.0,-0.04027389913794008
2,4,32,3368,1367.4795198867437,43,162,118,131.0,0.900763358778626,118.0,1.0,30,30.0,1.0,30.0,1.0,73.0,75.0,1.0273972602739727,28,0,T-wave,-0.10451269873548671,0.0,0.0,0.0,0.02702867238791942
2,4,33,3443,1367.7795206589446,44,144,118,118.0,1.0,93.0,1.2688172043010753,30,30.0,1.0,30.0,1.0,75.0,72.0,0.96,29,0,T-wave,0.0,0.2380851313124088,0.0,0.0,-0.040821994520255166
2,4,34,3515,1368.0675214002572,45,110,93,118.0,0.788135593220339,241.0,0.3858921161825726,30,30.0,1.0,28.0,1.0714285714285714,72.0,74.0,1.0277777777777777,30,0,T-wave,-0.2380851313124088,-0.9521974403373992,0.0,0.06899287148695142,0.027398974188114347
2,4,35,3589,1368.363522162162,46,296,241,93.0,2.591397849462365,120.0,2.0083333333333333,28,30.0,0.9333333333333332,30.0,0.9333333333333332,74.0,72.0,0.972972972972973,31,0,T-wave,0.9521974403373988,0.697305190708609,-0.06899287148695156,-0.06899287148695156,-0.027398974188114388
2,4,36,3661,1368.6515229034746,47,141,120,241.0,0.4979253112033195,112.0,1.0714285714285714,30,28.0,1.0714285714285714,30.0,1.0,72.0,79.0,1.0972222222222223,32,0,T-wave,-0.697305190708609,0.06899287148695142,0.06899287148695142,0.0,0.09278173345096627
2,4,37,3740,1368.9675237168597,48,154,112,120.0,0.9333333333333332,108.0,1.037037037037037,30,30.0,1.0,29.0,1.0344827586206895,79.0,74.0,0.9367088607594936,33,0,T-wave,-0.06899287148695156,0.03636764417087479,0.0,0.0339015516756812,-0.06538275926285186
2,4,38,3814,1369.2635244787646,49,145,108,112.0,0.9642857142857144,140.0,0.7714285714285715,29,30.0,0.9666666666666668,25.0,1.16,74.0,73.0,0.9864864864864864,34,0,T-wave,-0.036367644170874715,-0.25951119548508456,-0.03390155167568123,0.14842000511827322,-0.013605652055778709
2,4,39,3887,1369.5555252303732,50,186,140,108.0,1.2962962962962965,169.0,0.8284023668639053,25,29.0,0.8620689655172413,30.0,0.8333333333333334,73.0,68.0,0.9315068493150684,35,0,T-wave,0.2595111954850848,-0.18825629231376917,-0.14842000511827333,-0.1823215567939546,-0.07095173597228449
2,4,40,3955,1369.8275259305017,51,158,169,140.0,1.207142857142857,135.0,1.2518518518518518,30,25.0,1.2,30.0,1.0,68.0,80.0,1.1764705882352942,36,0,T-wave,0.1882562923137691,0.22462393648464396,0.1823215567939546,0.0,0.16251892949777494
2,4,41,4035,1370.1475267541828,52,172,135,169.0,0.7988165680473372,97.0,1.3917525773195876,30,30.0,1.0,30.0,1.0,80.0,77.0,0.9625,37,0,T-wave,-0.22462393648464407,0.3305637999350466,0.0,0.0,-0.03822121282019774
2,4,42,4112,1370.4555275469754,53,118,97,135.0,0.7185185185185186,145.0,0.6689655172413793,30,30.0,1.0,30.0,1.0,77.0,73.0,0.948051948051948,38,0,T-wave,-0.3305637999350466,-0.40202276391719155,0.0,0.0,-0.053345980705292735
2,4,43,4185,1370.7475282985845,54,171,145,97.0,1.4948453608247425,173.0,0.838150289017341,30,30.0,1.0,24.0,1.25,73.0,75.0,1.0273972602739727,39,0,T-wave,0.4020227639171917,-0.1765578520772046,0.0,0.22314355131420976,0.02702867238791942
2,4,44,4260,1371.047529070785,55,217,173,145.0,1.193103448275862,130.0,1.3307692307692307,24,30.0,0.8,30.0,0.8,75.0,78.0,1.04,40,0,T-wave,0.1765578520772045,0.2857571440421965,-0.2231435513142097,-0.2231435513142097,0.03922071315328133
2,4,45,4338,1371.3595298738735,56,174,130,173.0,0.7514450867052023,111.0,1.1711711711711712,30,24.0,1.25,26.0,1.1538461538461535,78.0,73.0,0.935897435897436,41,0,T-wave,-0.2857571440421966,0.15800424914324832,0.22314355131420976,0.14310084364067305,-0.06624938554120048
2,4,46,4411,1371.6515306254826,57,137,111,130.0,0.8538461538461538,150.0,0.74,26,30.0,0.8666666666666667,30.0,0.8666666666666667,73.0,75.0,1.0273972602739727,42,0,T-wave,-0.15800424914324832,-0.3011050927839216,-0.1431008436406733,-0.1431008436406733,0.02702867238791942
2,4,47,4486,1371.9515313976833,58,188,150,111.0,1.351351351351351,112.0,1.3392857142857142,30,26.0,1.1538461538461535,29.0,1.0344827586206895,75.0,72.0,0.96,43,0,T-wave,0.30110509278392145,0.29213642280116114,0.14310084364067305,0.0339015516756812,-0.040821994520255166
2,4,48,4558,1372.239532138996,59,131,112,150.0,0.7466666666666667,121.0,0.9256198347107438,29,30.0,0.9666666666666668,30.0,0.9666666666666668,72.0,77.0,1.0694444444444444,44,0,T-wave,-0.29213642280116114,-0.07729167430164652,-0.03390155167568123,-0.03390155167568123,0.06713930283762852
2,4,49,4635,1372.547532931789,60,144,121,112.0,1.0803571428571428,171.0,0.7076023391812866,30,29.0,1.0344827586206895,28.0,1.0714285714285714,77.0,71.0,0.922077922077922,45,0,T-wave,0.07729167430164649,-0.3458730109059187,0.0339015516756812,0.06899287148695142,-0.08112554481236846
2,4,50,4706,1372.8315336628054,61,175,171,121.0,1.4132231404958675,109.0,1.5688073394495412,28,30.0,0.9333333333333332,30.0,0.9333333333333332,71.0,76.0,1.0704225352112675,46,0,T-wave,0.34587301090591854,0.4503156742735161,-0.06899287148695156,-0.06899287148695156,0.06805346324501557
2,4,51,4782,1373.1355344453025,62,114,109,171.0,0.6374269005847953,113.0,0.9646017699115044,30,28.0,1.0714285714285714,30.0,1.0,76.0,76.0,1.0,47,0,T-wave,-0.4503156742735161,-0.03603993648319693,0.06899287148695142,0.0,0.0
